la,la_code,county,region,country,force,force_code,Mixed_Asian_stopped,Mixed_Asian_not_stopped,Mixed_Asian_population,Mixed_Asian_stop_rate,White_stopped,White_not_stopped,White_population,White_stop_rate,or,or_ci_low,or_ci_upp,rr,rr_ci_low,rr_ci_upp,warning,stats_altered_flag
Rochford,E07000075,Essex,East of England,England,Essex,E23000028,1,492,493,0.2028397565922921,301,81680,81981,0.367158243983362,0.551552006992227,0.013893061546989754,3.1110674074617313,0.5524586739266677,0.07772360770154273,3.9268710681678014,Chi-squared approximation may be incorrect,0
Tendring,E07000076,Essex,East of England,England,Essex,E23000028,0,605,605,0,751,141759,142510,0.5269805627675251,0,0,1.157304922530046,0,0,NA,Chi-squared approximation may be incorrect,0
Uttlesford,E07000077,Essex,East of England,England,Essex,E23000028,0,731,731,0,283,85825,86108,0.32865703535095464,0,0,1.5443237085246035,0,0,NA,Chi-squared approximation may be incorrect,0
Cheltenham,E07000078,Gloucestershire,South West,England,Gloucestershire,E23000037,0,1139,1139,0,326,107995,108321,0.3009573397586802,0,0,1.0807476283794568,0,0,NA,Chi-squared approximation may be incorrect,0
Cotswold,E07000079,Gloucestershire,South West,England,Gloucestershire,E23000037,0,493,493,0,60,87322,87382,0.06866402691629855,0,0,11.274194012287428,0,0,NA,Chi-squared approximation may be incorrect,0
Forest of Dean,E07000080,Gloucestershire,South West,England,Gloucestershire,E23000037,0,303,303,0,136,84567,84703,0.16056101909023293,0,0,7.72145992506993,0,0,NA,Chi-squared approximation may be incorrect,0
Gloucester,E07000081,Gloucestershire,South West,England,Gloucestershire,E23000037,8,861,869,0.9205983889528193,461,111480,111941,0.41182408590239505,2.2468644237691606,0.9611589625491325,4.484409090994396,2.2354165782595996,1.1148090441478165,4.482460296308177,Chi-squared approximation may be incorrect,0
Stroud,E07000082,Gloucestershire,South West,England,Gloucestershire,E23000037,1,785,786,0.1272264631043257,114,116402,116516,0.09784063991211507,1.3007204093901357,0.03260774227939816,7.415165187051758,1.300343734654703,0.18183369508885502,9.299122626471775,Chi-squared approximation may be incorrect,0
Tewkesbury,E07000083,Gloucestershire,South West,England,Gloucestershire,E23000037,0,531,531,0,115,89650,89765,0.12811229321004847,0,0,5.521575684183152,0,0,NA,Chi-squared approximation may be incorrect,0
Basingstoke and Deane,E07000084,Hampshire,South East,England,Hampshire,E23000030,5,1449,1454,0.34387895460797796,588,162792,163380,0.35989717223650386,0.9553389134445903,0.3085879329059532,2.2472784911152757,0.9554922381607388,0.396827095623044,2.3006630022377976,NA,0
